datetime,humidity,pressure,temperature,wind_speed,wind_direction,weather_description
2012-10-01 12:00:00,,,,,,
2012-10-01 13:00:00,71.0,1010.0,286.18,4.0,40.0,sky is clear
2012-10-01 14:00:00,71.0,1010.0,286.185246029,4.0,39.0,sky is clear
2012-10-01 15:00:00,71.0,1010.0,286.199194111,4.0,38.0,sky is clear
2012-10-01 16:00:00,71.0,1010.0,286.213142193,3.0,37.0,sky is clear
2012-10-01 17:00:00,71.0,1010.0,286.227090275,3.0,35.0,sky is clear
2012-10-01 18:00:00,71.0,1010.0,286.241038357,3.0,34.0,sky is clear
2012-10-01 19:00:00,72.0,1010.0,286.254986439,3.0,33.0,sky is clear
2012-10-01 20:00:00,72.0,1010.0,286.268934522,3.0,32.0,sky is clear
2012-10-01 21:00:00,72.0,1010.0,286.282882604,3.0,30.0,sky is clear
2012-10-01 22:00:00,72.0,1010.0,286.296830686,3.0,29.0,sky is clear
2012-10-01 23:00:00,72.0,1010.0,286.310778768,3.0,28.0,sky is clear
2012-10-02 00:00:00,73.0,1010.0,286.32472685,3.0,27.0,sky is clear
2012-10-02 01:00:00,73.0,1010.0,286.338674932,3.0,25.0,sky is clear
2012-10-02 02:00:00,73.0,1010.0,286.352623014,3.0,24.0,sky is clear
2012-10-02 03:00:00,73.0,1010.0,286.366571096,3.0,23.0,sky is clear
2012-10-02 04:00:00,73.0,1010.0,286.380519179,3.0,22.0,sky is clear
2012-10-02 05:00:00,74.0,1010.0,286.394467261,3.0,21.0,sky is clear
2012-10-02 06:00:00,74.0,1010.0,286.408415343,3.0,19.0,sky is clear
2012-10-02 07:00:00,74.0,1010.0,286.422363425,3.0,18.0,sky is clear
2012-10-02 08:00:00,74.0,1010.0,286.436311507,2.0,17.0,sky is clear
2012-10-02 09:00:00,74.0,1010.0,286.450259589,2.0,16.0,sky is clear
2012-10-02 10:00:00,75.0,1010.0,286.464207671,2.0,14.0,sky is clear
2012-10-02 11:00:00,75.0,1010.0,286.478155754,2.0,13.0,sky is clear
2012-10-02 12:00:00,75.0,1010.0,286.492103836,2.0,12.0,sky is clear
2012-10-02 13:00:00,75.0,1010.0,286.506051918,2.0,11.0,sky is clear
2012-10-02 14:00:00,76.0,1010.0,286.52,2.0,10.0,sky is clear
2012-10-02 15:00:00,71.0,1010.0,287.63,3.0,10.0,sky is clear
2012-10-02 16:00:00,73.0,1009.0,287.9,1.0,10.0,sky is clear
2012-10-02 17:00:00,69.0,1008.0,289.02,1.0,296.0,sky is clear
2012-10-02 18:00:00,59.0,1009.0,291.21,5.0,10.0,sky is clear
2012-10-02 19:00:00,57.0,1007.0,291.27,1.0,25.0,sky is clear
2012-10-02 20:00:00,57.0,1007.0,291.62,2.0,13.0,sky is clear
2012-10-02 21:00:00,56.0,1007.0,291.42,1.0,36.0,sky is clear
2012-10-02 22:00:00,52.0,1008.0,291.22,4.0,20.0,broken clouds
2012-10-02 23:00:00,55.0,1008.0,290.52,4.0,10.0,overcast clouds
2012-10-03 00:00:00,55.0,1008.0,289.75,2.0,360.0,sky is clear
2012-10-03 01:00:00,55.0,1008.0,288.74,3.0,350.0,sky is clear
2012-10-03 02:00:00,55.0,1009.0,288.15,2.0,330.0,overcast clouds
2012-10-03 03:00:00,58.0,1009.0,287.86,3.0,340.0,sky is clear
2012-10-03 04:00:00,62.0,1009.0,287.13,3.0,340.0,sky is clear
2012-10-03 05:00:00,62.0,1009.0,286.46,3.0,350.0,sky is clear
2012-10-03 06:00:00,67.0,1008.0,285.73,2.0,10.0,sky is clear
2012-10-03 07:00:00,71.0,1008.0,284.56,0.0,0.0,sky is clear
2012-10-03 08:00:00,62.0,1008.0,284.34,0.0,0.0,sky is clear
2012-10-03 09:00:00,81.0,1008.0,283.82,2.0,320.0,sky is clear
2012-10-03 10:00:00,81.0,1009.0,283.52,2.0,320.0,sky is clear
2012-10-03 11:00:00,76.0,1009.0,283.35,1.0,330.0,sky is clear
2012-10-03 12:00:00,87.0,1010.0,282.78,0.0,0.0,sky is clear
2012-10-03 13:00:00,76.0,1011.0,284.08,3.0,320.0,sky is clear
2012-10-03 14:00:00,71.0,1011.0,286.3,4.0,360.0,sky is clear
2012-10-03 15:00:00,65.0,1011.0,288.24,4.0,353.0,sky is clear
2012-10-03 16:00:00,60.0,1011.0,290.18,4.0,346.0,few clouds
2012-10-03 17:00:00,55.0,1011.0,292.12,4.0,340.0,light rain
2012-10-03 18:00:00,56.0,1011.0,293.1,5.0,340.0,sky is clear
2012-10-03 19:00:00,46.0,1010.0,294.3,5.0,10.0,scattered clouds
2012-10-03 20:00:00,43.0,1010.0,294.21,4.0,340.0,overcast clouds
2012-10-03 21:00:00,46.0,1010.0,294.1,3.0,360.0,light intensity drizzle
2012-10-03 22:00:00,56.0,1010.0,293.01,2.0,245.0,sky is clear
